userspace
n=m,n_iters,reps,median_us,p05_us,p95_us,min_us
1,1,300,68.03,66.64,197.48,65.94
1,2,300,68.61,67.74,101.61,67.45
1,11,300,79.43,78.48,138.60,77.95
1,101,300,190.61,188.36,215.93,187.97
6,1,300,72.31,71.50,74.48,71.09
6,2,300,73.84,73.18,76.80,72.81
6,11,300,90.09,88.77,94.58,88.37
6,101,300,252.87,251.74,257.67,251.40
20,1,300,90.19,89.66,94.79,89.25
20,2,300,94.49,93.88,97.80,93.56
20,11,300,131.44,130.87,133.35,130.60
20,101,300,502.38,501.25,508.26,501.03
64,1,300,203.92,203.07,209.51,202.47
64,2,300,218.34,217.43,222.64,217.16
64,11,300,356.81,355.98,360.65,355.48
64,101,300,1747.10,1742.51,1834.29,1741.19
# telemetry magic ok=1 status=0 executed=101 events=0
